utc_hour,path_group,split,rain,past_rain_12h,past_rain_24h,last_rain_lag_h,issue_hour,issue_weekday,issue_month,week_block,target_hour_h1,target_weekday_h1,target_month_h1,target_hour_h2,target_weekday_h2,target_month_h2,target_hour_h3,target_weekday_h3,target_month_h3,target_hour_h6,target_weekday_h6,target_month_h6,signed_residual_h1,signed_residual_h2,signed_residual_h3,signed_residual_h6,absolute_residual_h1,absolute_residual_h2,absolute_residual_h3,absolute_residual_h6
2025-04-03 13:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,13,3,4,2025-13,14,3,4,15,3,4,16,3,4,19,3,4,-251.29944,-63.17065000000002,1.961400000000026,537.6406,251.29944,63.17065000000002,1.961400000000026,537.6406
2025-04-03 14:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,14,3,4,2025-13,15,3,4,16,3,4,17,3,4,20,3,4,74.53330000000005,143.4448,170.9805,520.7864999999999,74.53330000000005,143.4448,170.9805,520.7864999999999
2025-04-03 15:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,15,3,4,2025-13,16,3,4,17,3,4,18,3,4,21,3,4,67.39639999999997,148.89666999999997,118.23360000000002,855.2992999999999,67.39639999999997,148.89666999999997,118.23360000000002,855.2992999999999
2025-04-03 16:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,16,3,4,2025-13,17,3,4,18,3,4,19,3,4,22,3,4,103.41539999999998,119.3563999999999,439.1382000000001,776.3773000000001,103.41539999999998,119.3563999999999,439.1382000000001,776.3773000000001
2025-04-03 17:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,17,3,4,2025-13,18,3,4,19,3,4,20,3,4,23,3,4,-106.0598,127.13660000000004,382.0655999999999,477.0094999999999,106.0598,127.13660000000004,382.0655999999999,477.0094999999999
2025-04-03 18:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,18,3,4,2025-13,19,3,4,20,3,4,21,3,4,0,4,4,123.92180000000008,256.4357,793.8652,237.99070000000006,123.92180000000008,256.4357,793.8652,237.99070000000006
2025-04-03 19:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,19,3,4,2025-13,20,3,4,21,3,4,22,3,4,1,4,4,204.0709999999999,655.8672999999999,760.5956000000001,195.58720000000005,204.0709999999999,655.8672999999999,760.5956000000001,195.58720000000005
2025-04-03 20:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,20,3,4,2025-13,21,3,4,22,3,4,23,3,4,2,4,4,726.1418000000001,597.2517,319.52690000000007,114.44353999999998,726.1418000000001,597.2517,319.52690000000007,114.44353999999998
2025-04-03 21:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,21,3,4,2025-13,22,3,4,23,3,4,0,4,4,3,4,4,605.425,218.86079999999993,50.230800000000045,50.86790000000002,605.425,218.86079999999993,50.230800000000045,50.86790000000002
2025-04-03 22:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,22,3,4,2025-13,23,3,4,0,4,4,1,4,4,4,4,4,436.828,120.89450000000011,162.5122,4.970490000000012,436.828,120.89450000000011,162.5122,4.970490000000012
2025-04-03 23:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,23,3,4,2025-13,0,4,4,1,4,4,2,4,4,5,4,4,148.3411000000001,194.26059999999995,87.63310000000001,-13.637599999999992,148.3411000000001,194.26059999999995,87.63310000000001,13.637599999999992
2025-04-04 00:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,0,4,4,2025-13,1,4,4,2,4,4,3,4,4,6,4,4,114.06910000000005,78.27013999999997,77.56887999999998,-4.83793,114.06910000000005,78.27013999999997,77.56887999999998,4.83793
2025-04-04 01:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,1,4,4,2025-13,2,4,4,3,4,4,4,4,4,7,4,4,51.29899999999998,40.61917,9.582459999999998,-33.435993,51.29899999999998,40.61917,9.582459999999998,33.435993
2025-04-04 20:00:00+00:00,recent_rain,final_eval,0.0,1.7,1.9000000000000001,3,20,4,4,2025-13,21,4,4,22,4,4,23,4,4,2,5,4,785.2299,481.5028,384.45540000000005,187.89070000000004,785.2299,481.5028,384.45540000000005,187.89070000000004
2025-04-04 21:00:00+00:00,recent_rain,final_eval,0.0,1.7,1.9000000000000001,4,21,4,4,2025-13,22,4,4,23,4,4,0,5,4,3,5,4,439.0507,257.6977999999999,24.857899999999972,212.57825000000003,439.0507,257.6977999999999,24.857899999999972,212.57825000000003
2025-04-04 22:00:00+00:00,recent_rain,final_eval,0.0,1.7,1.9000000000000001,5,22,4,4,2025-13,23,4,4,0,5,4,1,5,4,4,5,4,511.19229999999993,159.9967999999999,187.91409999999996,224.86658,511.19229999999993,159.9967999999999,187.91409999999996,224.86658
2025-04-04 23:00:00+00:00,recent_rain,final_eval,0.0,1.7,1.9000000000000001,6,23,4,4,2025-13,0,5,4,1,5,4,2,5,4,5,5,4,153.27150000000006,221.03970000000004,90.88599999999997,154.64821,153.27150000000006,221.03970000000004,90.88599999999997,154.64821
2025-04-05 00:00:00+00:00,recent_rain,final_eval,0.0,1.5999999999999999,1.9000000000000001,7,0,5,4,2025-13,1,5,4,2,5,4,3,5,4,6,5,4,179.92599999999993,129.29614000000004,118.41234999999995,67.63024999999999,179.92599999999993,129.29614000000004,118.41234999999995,67.63024999999999
2025-04-05 01:00:00+00:00,recent_rain,final_eval,0.0,1.4999999999999998,1.9000000000000001,8,1,5,4,2025-13,2,5,4,3,5,4,4,5,4,7,5,4,106.22080000000005,97.37099999999998,123.1329,8.152370000000005,106.22080000000005,97.37099999999998,123.1329,8.152370000000005
2025-04-05 02:00:00+00:00,recent_rain,final_eval,0.0,1.2999999999999998,1.9000000000000001,9,2,5,4,2025-13,3,5,4,4,5,4,5,5,4,8,5,4,18.966199999999958,61.47399999999999,81.51702999999998,-1.7158739999999995,18.966199999999958,61.47399999999999,81.51702999999998,1.7158739999999995
2025-04-05 12:00:00+00:00,recovery,final_eval,0.0,16.0,17.6,1,12,5,4,2025-13,13,5,4,14,5,4,15,5,4,18,5,4,-29.615099999999984,114.95039999999995,501.7445,795.4776999999999,29.615099999999984,114.95039999999995,501.7445,795.4776999999999
2025-04-05 13:00:00+00:00,recovery,final_eval,0.0,16.0,17.5,2,13,5,4,2025-13,14,5,4,15,5,4,16,5,4,19,5,4,76.89319999999998,378.57310000000007,568.9757999999999,821.2855,76.89319999999998,378.57310000000007,568.9757999999999,821.2855
2025-04-05 14:00:00+00:00,recovery,final_eval,0.0,16.0,17.3,3,14,5,4,2025-13,15,5,4,16,5,4,17,5,4,20,5,4,278.53150000000005,442.80639999999994,461.6952000000001,673.3806,278.53150000000005,442.80639999999994,461.6952000000001,673.3806
2025-04-06 11:00:00+00:00,recent_rain,final_eval,0.0,2.4,2.6999999999999997,10,11,6,4,2025-14,12,6,4,13,6,4,14,6,4,17,6,4,-181.25009999999997,139.9749999999999,561.4586999999999,152.0543,181.25009999999997,139.9749999999999,561.4586999999999,152.0543
2025-04-06 12:00:00+00:00,recent_rain,final_eval,0.0,2.4,2.4,11,12,6,4,2025-14,13,6,4,14,6,4,15,6,4,18,6,4,108.80809999999997,494.71810000000005,338.88599999999997,27.0320999999999,108.80809999999997,494.71810000000005,338.88599999999997,27.0320999999999
2025-04-06 21:00:00+00:00,recovery,final_eval,0.0,5.0,7.4,1,21,6,4,2025-14,22,6,4,23,6,4,0,0,4,3,0,4,-502.65380000000005,-413.58979999999997,-390.86789999999996,-248.36901999999998,502.65380000000005,413.58979999999997,390.86789999999996,248.36901999999998
2025-04-06 22:00:00+00:00,recovery,final_eval,0.0,5.0,7.4,2,22,6,4,2025-14,23,6,4,0,0,4,1,0,4,4,0,4,-73.83720000000005,2.8573000000000093,-62.149599999999964,-54.58615,73.83720000000005,2.8573000000000093,62.149599999999964,54.58615
2025-04-06 23:00:00+00:00,recovery,final_eval,0.0,5.0,7.4,3,23,6,4,2025-14,0,0,4,1,0,4,2,0,4,5,0,4,-11.183999999999969,-56.38599999999997,36.66888,-61.3566,11.183999999999969,56.38599999999997,36.66888,61.3566
