horizon,state,objective,status,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6
1,normal,state_huber,ok,0.08342010448720283,0.07283143593736116,9.656175598699021e-20,0.29233154405055006,0.44257816264169997,0.1088387528831859
1,shock,state_huber,ok,0.08452638457320669,0.07426584129609644,0.0011333961456784288,0.29104190860936024,0.4401851090848727,0.10884736029078558
1,recovery,state_huber,ok,0.08333346166021789,0.07335558513024636,0.0001059987213617826,0.29193891839309655,0.4423882462111155,0.10887778988396185
2,global,state_huber,ok,0.0107886121266285,2.2412491784348787e-18,3.347474207548995e-18,0.3565375220193952,0.25414521522907285,0.3785286506249035
2,normal,state_huber,ok,0.009753278175293225,7.72917564369549e-20,3.255782891008717e-20,0.35708476613465334,0.254514249473361,0.3786477062166925
2,shock,state_huber,ok,0.013476303926703383,0.0011006205194964533,0.0003445100171696652,0.35449212021011867,0.2534814054341381,0.3771050398923738
2,recovery,state_huber,ok,0.011006871973282458,0.00015398231092495447,0.00019117516192137027,0.35625810773139127,0.2536495586461166,0.37874030417636345
3,global,state_huber,ok,0.0,0.013877075505799525,0.0,0.357719547273119,0.20757389778435043,0.42082947943673105
3,normal,state_huber,ok,0.0,0.012763903151687447,0.0,0.35774997774544964,0.20832771522279328,0.4211584038800696
3,shock,state_huber,ok,8.809142651444724e-20,0.017400996158914682,0.0030982982926148956,0.3562011198815632,0.2054874423312427,0.4178121433356646
3,recovery,state_huber,ok,6.903318520122548e-20,0.013545842650443136,2.117582368135751e-21,0.35803344830824374,0.2071197467007496,0.4213009623405635
6,global,state_huber,ok,0.0,3.8320829324968615e-18,0.02759924642274066,0.2560370638303293,0.3019521325786671,0.414411557168263
6,normal,state_huber,ok,0.0,0.0,0.026261666658415714,0.25598096026720013,0.30335796532148035,0.4143994077529039
6,shock,state_huber,ok,0.0016061335674679884,0.0014827464012207043,0.029161052306378922,0.2539533469095061,0.29787830861258524,0.4159184122028411
6,recovery,state_huber,ok,7.115076756936123e-20,0.00038602453126027395,0.0283379154628599,0.2566896011429227,0.3015102097013026,0.41307624916165453
