horizon,state,objective,status,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6,model
3,recovery,mse,ok,0.0,,0.002722618604255319,0.3354336432042967,0.2476164551390869,0.4142272830523612,minus_E2
6,global,mse,ok,0.0,,0.009951770560797704,0.30671984389110823,0.2750151178963383,0.40831326765175585,minus_E2
6,normal,mse,ok,4.852651754819886e-18,,0.004445332411289495,0.3075711787333799,0.2807688319138943,0.4072146569414362,minus_E2
6,shock,mse,ok,0.016258441218163288,,0.032831865194894526,0.2862322958997308,0.2471723162771732,0.4175050814100382,minus_E2
6,recovery,mse,ok,0.0,,0.010684450275385773,0.3108473788692405,0.27280640896843705,0.40566176188693676,minus_E2
1,global,mse,ok,0.0361301970535986,0.09415274557040414,,0.27122068870122185,0.46903400113631155,0.12946236753846402,minus_E3
1,normal,mse,ok,0.03554570401213708,0.09199902725256232,,0.27241716396548527,0.47085352739204034,0.12918457737777503,minus_E3
1,shock,mse,ok,0.041288313705796324,0.1009903116893376,,0.26625370099284146,0.4636205252626441,0.12784714834938055,minus_E3
1,recovery,mse,ok,0.035417041421604435,0.09551597052931737,,0.27084151685650737,0.4676944749436051,0.13053099624896577,minus_E3
2,global,mse,ok,1.463672932855431e-18,3.0086610286472748e-18,,0.4056977522122974,0.2535851701217004,0.34071707766600223,minus_E3
2,normal,mse,ok,2.066760391300493e-18,1.5449880957918438e-18,,0.4065177425894879,0.25381620862044035,0.3396660487900718,minus_E3
2,shock,mse,ok,0.012191520983313595,0.008101647766382728,,0.3927618684793458,0.2537894929142296,0.3331554698567284,minus_E3
2,recovery,mse,ok,0.00023392269951685217,0.0027946722259440293,,0.405372127489467,0.24988744198538893,0.3417118355996832,minus_E3
3,global,mse,ok,0.0,0.007081652667266225,,0.33063192857348844,0.25112226083118566,0.4111641579280597,minus_E3
3,normal,mse,ok,6.793204236979489e-19,0.0024739793868710823,,0.33058608008839335,0.2544317388605055,0.4125082016642301,minus_E3
3,shock,mse,ok,0.0021989545241932,0.025345969834661388,,0.3241718197054326,0.24850804512487623,0.39977521081083667,minus_E3
3,recovery,mse,ok,2.1091120386632078e-19,0.009171477457756594,,0.33256044596474343,0.2461458074706804,0.41212226910681965,minus_E3
6,global,mse,ok,0.0,0.00699467858601838,,0.3090875295241918,0.2744073910863952,0.4095104008033946,minus_E3
6,normal,mse,ok,0.0,0.0009391078271419767,,0.3101313596128488,0.28033688276126756,0.40859264979874166,minus_E3
6,shock,mse,ok,0.0167650818528527,0.029418572938698307,,0.2884094556341203,0.24662475692290312,0.4187821326514256,minus_E3
6,recovery,mse,ok,0.0,0.008731547350560746,,0.3128842532587748,0.2718604144258415,0.40652378496482294,minus_E3
1,global,mse,ok,0.07065559712798203,0.13446813452446696,0.0,,0.6092561238084956,0.18562014453905534,minus_E4
1,normal,mse,ok,0.07079795896749275,0.132297167425385,8.898081110906425e-19,,0.6120074016594664,0.1848974719476558,minus_E4
1,shock,mse,ok,0.07096230196848076,0.1392748038320725,0.005720861247266747,,0.5999972609521298,0.18404477200005018,minus_E4
1,recovery,mse,ok,0.06973308341739672,0.13579501477167674,0.000746146438127854,,0.6069916762936841,0.18673407907911466,minus_E4
2,global,mse,ok,0.0,0.032441167279511636,2.1738253558334364e-17,,0.4653473433017163,0.5022114894187721,minus_E4
2,normal,mse,ok,1.8295911660692887e-19,0.028285919269092397,0.0,,0.46829071208650047,0.5034233686444072,minus_E4
2,shock,mse,ok,0.008632831533805693,0.03688811870613529,0.0027832047138296413,,0.46201135138726257,0.48968449365896694,minus_E4
2,recovery,mse,ok,2.2107559923337244e-19,0.035785950693588475,0.002687414009517482,,0.4593641608059301,0.502162474490964,minus_E4
3,global,mse,ok,0.0,0.03896020116501704,0.0,,0.44444374809309534,0.5165960507418877,minus_E4
3,normal,mse,ok,0.0,0.03399099342969454,3.0535537748517527e-19,,0.44829930417543307,0.5177097023948725,minus_E4
3,shock,mse,ok,0.0,0.05147229297301325,0.009084093560827447,,0.4354946530013725,0.5039489604647869,minus_E4
3,recovery,mse,ok,0.0,0.04228308613114973,0.0003802324436814367,,0.43981483955805206,0.5175218418671167,minus_E4
6,global,mse,ok,0.0,0.0,0.06896749261812304,,0.4649047968109526,0.46612771057092445,minus_E4
6,normal,mse,ok,3.3406979439709605e-18,0.0,0.06355606712209941,,0.47195840459147986,0.46448552828642087,minus_E4
