removed_expert,horizon,group,n,cluster_type,clusters,delta_MAE_loo_minus_full,ci95_low,ci95_high
E3,2,recovery,2507,event_cluster,118,-0.022485995489236122,-0.03512685222462099,-0.007129829185399547
E3,3,overall,6599,7_day_block,41,0.01518331248030964,-0.013337671349631637,0.045349659961130016
E3,3,normal,3074,7_day_block,39,9.298417590773517e-05,4.883124848036335e-05,0.00013811028100398589
E3,3,shock,1018,event_cluster,118,0.09781875376437159,-0.08238874556182771,0.27850895471602394
E3,3,recovery,2507,event_cluster,118,0.00013137390055550252,8.43601757853663e-05,0.00017641939743807408
E3,6,overall,6599,7_day_block,41,-0.030444264552560437,-0.11244990359444582,0.05191560974305764
E3,6,normal,3074,7_day_block,39,-0.048984573876033354,-0.13657644885845308,0.04096071979517123
E3,6,shock,1018,event_cluster,118,-0.05246767501521629,-0.5089293537296294,0.39523308709824706
E3,6,recovery,2507,event_cluster,118,0.0012321386031393208,-0.07463985870695804,0.0725037984768572
E4,1,overall,6599,7_day_block,40,5.157321980735039,4.368446435987028,5.929014171593002
E4,1,normal,3074,7_day_block,38,5.600374969953132,4.741097086054599,6.484993627783463
E4,1,shock,1018,event_cluster,118,4.04009692629129,2.0599148627974784,6.084458699696344
E4,1,recovery,2507,event_cluster,118,5.067728927909873,4.045971001559581,6.162519684035166
E4,2,overall,6599,7_day_block,41,9.591332087413056,7.976985559251709,11.346984887893337
E4,2,normal,3074,7_day_block,39,9.125636888169938,7.286680571086279,11.074756178341195
E4,2,shock,1018,event_cluster,118,7.0568748588496755,3.931043533415578,10.036464910053898
E4,2,recovery,2507,event_cluster,118,11.191501413759633,8.229732171625075,14.384493530738853
E4,3,overall,6599,7_day_block,41,7.119458889689704,5.369260435690501,8.616386108311064
E4,3,normal,3074,7_day_block,39,7.258376809580469,5.532077864745774,8.938855226580758
E4,3,shock,1018,event_cluster,118,4.0067109729773565,0.8437613205808088,6.77508616787384
E4,3,recovery,2507,event_cluster,118,8.213094188241344,5.966159268714922,10.438219269825785
E4,6,overall,6599,7_day_block,41,8.20759043420133,6.280835404714207,10.156843817593028
E4,6,normal,3074,7_day_block,39,8.691467440232762,6.361872499427855,10.855454368561364
E4,6,shock,1018,event_cluster,118,2.431679735929172,-2.3020743969513457,6.773165989829259
E4,6,recovery,2507,event_cluster,118,9.959660308274106,7.126380891577277,12.639962600013892
E5,1,overall,6599,7_day_block,40,5.428629421810837,4.277531315072766,6.326874968924665
E5,1,normal,3074,7_day_block,38,6.731724423138083,5.030680138120774,8.587807319794747
E5,1,shock,1018,event_cluster,118,3.571194431163773,0.5308111287196856,7.0878696534299035
E5,1,recovery,2507,event_cluster,118,4.585053349373167,3.2255216572554537,5.893018990004086
E5,2,overall,6599,7_day_block,41,2.8863052670508735,2.2929244619992475,3.568512014041562
E5,2,normal,3074,7_day_block,39,2.93945136115129,1.8116113230309312,4.036514255865694
E5,2,shock,1018,event_cluster,118,3.2851446608775148,1.2597869427044697,5.396510893258277
E5,2,recovery,2507,event_cluster,118,2.6591853643064756,1.6661765448599855,3.7298907436455853
E5,3,overall,6599,7_day_block,41,2.981804433756528,2.103806778522001,3.8774703471260796
E5,3,normal,3074,7_day_block,39,2.9026437251591592,1.8923892646739486,3.82853094643885
E5,3,shock,1018,event_cluster,118,2.9775318955157304,0.6262826465869217,5.414831272783526
E5,3,recovery,2507,event_cluster,118,3.0806035810072054,1.6895871137595821,4.485110710664298
E5,6,overall,6599,7_day_block,41,2.2355881051255295,0.5076961290076161,3.8437932451537082
E5,6,normal,3074,7_day_block,39,1.781646614445261,-0.07080853339520074,3.8694237770719218
E5,6,shock,1018,event_cluster,118,4.420846397301821,0.9116103558477988,8.490226040556598
E5,6,recovery,2507,event_cluster,118,1.904843470468841,-0.4160341616980758,4.059167651261187
E6,1,overall,6599,7_day_block,40,-0.9568120563417656,-1.3062076960509363,-0.6560178702672496
E6,1,normal,3074,7_day_block,38,-0.7970991079739052,-1.2393084200880886,-0.3699398806016722
E6,1,shock,1018,event_cluster,118,-0.5397770317410118,-1.528105077105776,0.3840182899741797
